name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships,border
William I,img/england/william_the_conquerer.png,Normandy,img/houses/normandy.png,1066,1087,"Illness, 59",Roman Catholic,"As Duke of Normandy, led the invading Norman forces|
Defeated King Harold Godwinson at the Battle of Hastings|
Left England to William Rufus and Normandy to Robert Curthose","Normal conquest of England, 1066|
Harrying of the North, 1068|
Revolt of the Earls, 1075","Flanders, Baldwin V, Father-in-law, img/france/baldwin_v.jpg|
Brittany, Alan IV, Son-in-law, img/france/alan_iv.jpg|
Normandy, Robert Curthose, Brother, img/france/robert_curthose.jpg",img/borders/england/1087.jpg
William II,img/england/william_ii.png,Normandy,img/houses/normandy.png,1087,1100,Assassinated,Roman Catholic,"Faced a rebellion by barons who wanted a unified Norman rule|
Undermined authority of Church, exiling the Archbishop|
Killed Malcolm III, turning Scotland into an English vassal","Rebellion of 1088|
Scotland, 1091-3|
Normandy, 1097-9","Normandy, Robert Curthose, Brother, img/france/robert_curthose.jpg",img/borders/england/1100.jpg
Henry I,img/england/henry_i.png,Normandy,img/houses/normandy.png,1100,1135,"Illness, 66",Roman Catholic,"Fought brother, Duke of Normandy, for English succession|
Encouraged to invade Normandy, imprisoning brother for life|
After son drowned, recalled daughter Matilda to be his heir","Normandy, 1106|
France, 1116-9","Scotland, Matilda, Wife, img/scotland/matilda.JPG|
Anjou, Matilda, Daughter, img/france/mathilda.png|
Normandy, Robert Curthose, Brother, img/france/robert_curthose.jpg|
Holy Roman Empire, Henry V, Son-in-law, img/hre/henry_v.jpg",img/borders/england/1135.jpg
Stephen,img/england/stephen.jpg,Blois,img/houses/blois.png,1135,1154,"Illness, 57",Roman Catholic,"Favorite nephew of Henry I, disregarded claim by aunt Matilda|
Civil war, the Anarchy, began with the invasion of Matilda's army|
Settled the war by signing a treaty naming Matilda's son his heir","Scotland, 1136|
The Anarchy, 1139-54","Blois, Stephen, Father, img/france/stepan.jpg|
Boulogne, Matilda, Wife, img/france/matilda_boulogne.jpg",img/borders/england/1153.jpg
Henry II,img/england/henry_ii.png,Plantagenet/Angevin,img/houses/plantagenet.png,1154,1189,"Ulcer, 56",Roman Catholic,"Count of Anjou through father and Aquitaine through wife|
Unpopular for murder of Archbishop and support of antipope|
Restored order following Anarchy with new judicial system","Great Revolt, 1173-4|
Invasion of Ireland, 1169-75","Aquitaine, Eleanor, Wife, img/france/eleanor.jpg|
Sicily, Joan, Daughter, img/italy/joan.jpg|
Castille, Eleanor, Daughter, img/spain/eleanor.jpg",img/borders/england/1189.jpg
Richard I,img/england/richard_i.jpeg,Plantagenet/Angevin,img/houses/plantagenet.png,1189,1199,Assassinated,Roman Catholic,"Romanticized and made popular for exploits in Third Crusade|
Vied to appoint King of Jerusalem, perhaps killing a candidate|
Captured on return and ransomed in exchange for his kingdom","Sicily, 1190|
Cyprus, 1191","Navarre, Berengaria, Wife, img/france/berengaria.JPG",img/borders/england/1189.jpg
John,img/england/john.png,Plantagenet/Angevin,img/houses/plantagenet.png,1199,1216,"Dysentary, 49",Roman Catholic,"Lost Normandy and all French holdings to French Philip II|
After a revolt of English barons, forced to seal the Magna Carta|
First king since Norman Conquest who could speak English","Normandy Campaigns, 1202-4|
First Barons' War, 1215-7","Germany, Richard, Son, img/hre/richard.jpg|
Holy Roman Empire, Isabella, Daughter, img/hre/isabella.jpg|
Scotland, Joan, Daughter, img/scotland/joan.jpg",img/borders/england/1216.jpg
Henry III,img/england/henry_iii.png,Plantagenet,img/houses/plantagenet.png,1216,1272,"Illness, 65",Roman Catholic,"Inherited a country ruled by rebellious barons, loyal to France|
Financed papal wars in exchange for Sicilian crown for his son|
Forced into Provisions of Oxford, establishing privy council","Second Barons' War, 1264-7|
France, 1230","Aquitaine, Isabella, Mother, img/france/isabella.jpg|
Scotland, Margaret, Daughter, img/scotland/margaret_plantagenet.JPG|
Provence, Eleanor, Wife, img/france/eleanor_provence.jpg",img/borders/england/1272.jpg
Edward I,img/england/edward_i.png,Plantagenet,img/houses/plantagenet.png,1272,1307,"Dysentary, 68",Roman Catholic,"Held parliaments and made it into a feature of English politics|
Killed Llywelyn ap Gruffudd, destroying autonomy of Wales|
Arbitrated in favor of John Balliol, but invaded after he rebelled","Conquest of Wales, 1277-83|
Anglo-French War, 1294-1303","Castille, Eleanor, Wife, img/spain/eleanor_castille.jpg|
France, Margaret, Wife, img/france/margaret.jpg",img/borders/england/1307.jpg
Edward II,img/england/edward_ii.jpg,Plantagenet,img/houses/plantagenet.png,1307,1327,Deposed,Roman Catholic,"Ordinances of 1311 restricted power of king's appointments|
Defeated by Robert the Bruce at Battle of Bannockburn|
Favoritism caused wife to depose him and crown their son","Despenser War, 1321-2|
War of Saint-Sardos, 1324","France, Isabella, Wife, img/france/isabella_plantagenet.jpg|
Scotland, Joan, Daughter, img/scotland/joan_of_the_tower.jpg",img/borders/england/1327.jpg
