name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships,border
Otto I,img/hre/otto_i.jpeg,Ottonian,img/houses/saxony.png,962,973,"Illness, 60",Roman Catholic,"Ended the Hungarian invasions of Western Europe|
Conquered Northern Italy|
Invaded papal states and installed Leo VIII as pope","Hungarian Invasions, 955-70","Byzantine Empire, Theophanu, Daughter-in-law, img/byzantine/theophano.jpeg|
Italy, Adelaide, Wife, img/italy/adelaide.jpg|
England, Edward the Elder, Father-in-law, img/england/edward_the_elder.jpg",img/borders/hre/973.jpg
Otto II,img/hre/otto_ii.jpg,Ottonian,img/houses/saxony.png,967,983,"Malaria, 28",Roman Catholic,"Subjugated and christianized the Danes|
Attempted and failed to take Italy from the Muslims","Emirate of Sicily, 982|
Great Slav Rising, 983","Byzantine Empire, Theophanu, Wife, img/byzantine/theophano.jpeg",img/borders/hre/983.jpg
Otto III,img/hre/otto_iii.jpg,Ottonian,img/houses/saxony.png,996,1002,"Illness, 21",Roman Catholic,"Lost territories east of the Elbe to Slavs|
Died without heir, causing Italy to break away",,,img/borders/hre/983.jpg
Henry II,img/hre/henry_ii.jpg,Ottonian,img/houses/saxony.png,1014,1024,"Illness, 51",Roman Catholic,"Crowned King of Germany following death of Otto III|
Added Bohemia to the empire|
Support for Rome led to the East-West Schism of the Church","German-Polish War, 1002-18|
Battle of Cannae, 1018",,img/borders/hre/1024.jpg
Conrad II,img/hre/conrad_ii.jpg,Salian,,1027,1039,"Gout, 49",Roman Catholic,"Claimed the vacant Dukedom of Bavaria|
Incorporated the heirless Kingdom of Burgundy",,,img/borders/hre/1031.jpg
Henry III,img/hre/henry_iii.jpg,Salian,,1046,1056,"Illness, 39",Roman Catholic,"Given Bavaria, Swabia, and Burgundy from father Conrad II|
Trial of Italian bishop precipitated Investiture Controversy|
Split Lorraine into Upper and Lower Lorraine",,"Aquitaine, Agnes, Wife, img/france/agnes.jpg|
Denmark, Cnut the Great, Father-in-law, img/denmark/cnut_the_great.jpg",img/borders/hre/1056.jpg
Henry IV,img/hre/henry_iv.jpg,Salian,,1056,1106,Abdicated,Roman Catholic,"Attempted to appoint bishops instead of the papacy|
Excommunicated 5 times during Investiture Controversy|
Defeated by son Henry with support of papacy","Saxon Rebellion, 1073-5|
Great Saxon Revolt, 1077-88","Savoy, Bertha, Wife, img/italy/bertha.jpg|
Russia, Vsevolod I, Father-in-law, img/russia/vsevolod.jpg",img/borders/hre/1106.jpg
Henry V,img/hre/henry_v.jpg,Salian,,1111,1125,"Cancer, 39",Roman Catholic,"Captured Pope Paschal II|
Settled Investiture Controversy in Concordat of Worms",,"England, Henry I, Father-in-law, img/england/henry_i.png",img/borders/hre/1106.jpg
Lothair II,img/hre/lothair_ii.jpg,Supplinburg,,1133,1137,"Unspecified, 62",Roman Catholic,"Appointed Duke of Saxony for supporting Henry V against father|
First elected Emperor without hereditary claim|
","Sicily, 1136-7",,img/borders/hre/1106.jpg
Frederick I,img/hre/frederick_i.jpg,Hohenstaufen,img/houses/hohenstaufen.png,1155,1190,"Drowned, 67",Roman Catholic,"Created feudal court via Landfrieden of 1152|
Defeated at Alessandria by pro-papal Lombard League|
Reconciled with Pope Alexander II at Peace of Venice","Italy, 1154-5|
Italy, 1158-74|
Third Crusade, 1189-92","Sicily, Constance, Daughter-in-law, img/italy/constance.jpg",img/borders/hre/1190.jpg
